text,type,typeId,Description
Admin,Process 2(GS),creately.dfdgs.process2,
Import,Process 2(GS),creately.dfdgs.process2,
Export,Process 2(GS),creately.dfdgs.process2,
Search Users,Process 2(GS),creately.dfdgs.process2,
Followers,Process 2(GS),creately.dfdgs.process2,
Following,Process 2(GS),creately.dfdgs.process2,
Mutual View,Process 2(GS),creately.dfdgs.process2,
Admin,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Social,Data Store 1 (GS),creately.dfdgs.datastore1,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Social,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Member,Entity,creately.dfdgs.entity,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Stats,Process 2(GS),creately.dfdgs.process2,
