text,type,typeId,Description
Sign Up,Process 2(GS),creately.dfdgs.process2,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Guest,Entity,creately.dfdgs.entity,
Sign In,Process 2(GS),creately.dfdgs.process2,
Member,Entity,creately.dfdgs.entity,
Profile,Process 2(GS),creately.dfdgs.process2,
Social,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Edit Profile,Process 2(GS),creately.dfdgs.process2,
Verify Mail,Process 2(GS),creately.dfdgs.process2,
Forgot Password,Process 2(GS),creately.dfdgs.process2,
Delete Account,Process 2(GS),creately.dfdgs.process2,
Users,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Member,Entity,creately.dfdgs.entity,
Member,Entity,creately.dfdgs.entity,
Member,Entity,creately.dfdgs.entity,
Badges,Process 2(GS),creately.dfdgs.process2,
Member,Entity,creately.dfdgs.entity,
Log Activity,Process 2(GS),creately.dfdgs.process2,
Member,Entity,creately.dfdgs.entity,
Feed,Process 2(GS),creately.dfdgs.process2,
Member,Entity,creately.dfdgs.entity,
Data,Data Store 1 (GS),creately.dfdgs.datastore1,
Member,Entity,creately.dfdgs.entity,
Diary,Process 2(GS),creately.dfdgs.process2,
